条件,プレイヤー,平均文字数,平均対原文類似度,ベータ分布_alpha,ベータ分布_beta
そのまま,原文,103.8,1.0,,
そのまま,1人目,93.9,0.3914011823773001,6.076571658520964,3.944587777034912
そのまま,2人目,93.8,0.22804636949711923,8.612752896599199,2.5557577972687975
そのまま,3人目,89.02,0.16260295164599653,9.508573517522668,1.8749442609455285
そのまま,4人目,87.18,0.12382997680919092,11.205480657716466,1.5963281416611192
そのまま,5人目,86.14,0.10009685258789483,15.186974874299121,1.6893287207871113
そのまま,6人目,84.1,0.08432269738351808,16.692760190500028,1.549832396299164
そのまま,7人目,84.96,0.07930546379183713,21.242813503226255,1.839067416922066
そのまま,8人目,83.62,0.06412610810492819,33.422723376680686,2.288403569313792
そのまま,9人目,81.82,0.056913127336853095,34.59995488681377,2.086067153017605
そのまま,10人目,79.96,0.05136789505176169,47.12766196599818,2.5539338736447807
要約,原文,103.8,1.0,,
要約,1人目,59.34,0.38539033857847665,6.43796427746533,4.082444303911109
要約,2人目,44.64,0.18216214198687186,17.011488205487854,3.784549691966557
要約,3人目,34.14,0.11375530224803743,23.775955367370532,3.0604447866861033
要約,4人目,29.18,0.08841010189969188,22.85815884633297,2.210086032704602
要約,5人目,28.32,0.06615233698651532,21.071354734094704,1.4780213034268124
要約,6人目,24.42,0.06221883516209955,23.187441028108367,1.5279034374864933
要約,7人目,23.22,0.0460925546969905,17.217693704275323,0.8186099095189224
要約,8人目,22.72,0.041918749078897755,19.380144434548352,0.8360209181092971
要約,9人目,21.14,0.04237220399871222,21.594700015355702,0.9487737898978621
要約,10人目,21.56,0.03432758095258126,19.080973021595156,0.6685271805877113
助長,原文,103.8,1.0,,
助長,1人目,191.08,0.3462652281067606,7.622701797620367,4.083470929435926
助長,2人目,243.46,0.23750526575811354,11.70541664151774,3.673878051228768
助長,3人目,286.08,0.18666953628622363,23.153903090513644,5.3257495509639625
助長,4人目,337.08,0.16473719281926738,31.265368423219048,6.1779932677322345
助長,5人目,375.22,0.15594831623591854,30.48579607798952,5.640995980617015
助長,6人目,428.54,0.14530753053668535,33.850639299563625,5.756968289642538
助長,7人目,472.58,0.13678199330980648,35.492486169717665,5.630250291652296
助長,8人目,502.68,0.13335732051764268,36.7251270669356,5.65657277542642
助長,9人目,541.26,0.12712755065389186,37.01547869056593,5.393399227928323
助長,10人目,580.96,0.12304786618866549,38.23444754374035,5.365564926413268
自己修復,原文,103.8,1.0,,
自己修復,1人目,96.96,0.5349456772901395,0.9586638264705903,1.3458088482163395
自己修復,2人目,96.46,0.513599076963643,1.4726388161663537,1.775955398467279
自己修復,3人目,96.62,0.5299451629461562,1.0382061302455008,1.4584647970720173
自己修復,4人目,100.98,0.537435339220654,2.406081013200066,2.8051859037878177
自己修復,5人目,95.14,0.5332146682263215,1.4222020406034293,1.816980661189957
自己修復,6人目,98.0,0.5073679306592919,1.1076097147412343,1.451643281376513
自己修復,7人目,96.08,0.5051246722466178,2.969716562605969,3.0916349790660833
自己修復,8人目,96.06,0.5228319229094225,2.4551948867972877,2.7631837240533534
自己修復,9人目,96.34,0.507279787195363,1.0962871797564462,1.4363317063304248
自己修復,10人目,93.88,0.5145912826783194,1.592656565779202,1.967785168379284
